rating,votes,service_rating,price,price_discount,warranty,type,model_id,release_year,operating_system,game_notebook,cover_color,cover_material,body_material,touchpad,fingerprint,mech_keyboard,screen_type,screen_size,screen_res,screen_coat,screen_sensor,screen_frec,screen_bright,screen_ppi,screen_sync,cpu_model,cpu_core,cpu_core_productive,cpu_core_effective,cpu_thread,cpu_freq,cpu_accelerated,ram_type,ram_capacity,ram_freq,gpu_model_int,gpu_model_disc,ssd_volume,hdd_volume,emmc_volume,webcam,card_type,ethernet_port,video_port,audio_port,usb_type_a,usb_type_c,additional_interfaces,thunderbolt,usb_power_delivery,acc_type,acc_capacity,acc_time,depth,width,height,weight,ram_slots,ram_max_volume,ram_free_slot,second_display,video_port_type,tpm_support,ssd_type,seller_warranty,screen_color_depth,adapter_output_power,gpu_manufacturer,video_type,gddr_volume,freq_with_acc,screen_hdr,power_consumption_max,discount,percentage_discount,brand,model_name,transformer,ru_keyboard,keyboard_backlight_type,cpu_vendor,discrete_gpu,gpu_vendor_disc,card_slot_mmc_support,card_slot_type,wifi,bluetooth,cellular,ethernet_port_speed
3.5,89,93.11,14999,14999,12,ноутбук,NB77,2021,Windows 10 Home Single Language,False,черный,пластик,пластик,стандартный тачпад,False,False,TN,13.3,HD (1366x768),матовое,False,60.0,200.0,118.0,нет,Atom Z3735F,4.0,4,0,4,1.33,1.83,DDR3,2,1333.0,Intel HD Graphics,,0,0,32,0.3,нет,False,mini HDMI,3.5 мм jack (микрофон/аудио),USB 2.0 x2,нет,нет,нет,False,Li-Ion,8000.0,5.0,217.5,329.3,20.8,1.3,,,,,,,,,,,,,,,,,0,0.0,Irbis,NB77,False,True,,Intel,False,,False,,WI-FI 4 (802.11n), Bluetooth 4.0,,
4.5,52,97.67,15999,15999,12,ноутбук,NB257,2021,Windows 10 Home Single Language,False,серый,пластик,пластик,стандартный тачпад,False,False,IPS,14.0,HD (1366x768),матовое,False,60.0,180.0,112.0,нет,Celeron 3350,2.0,2,0,2,1.1,2.4,LPDDR4,4,,Intel HD Graphics 500,,0,0,64,0.3,0,False,mini HDMI,3.5 мм jack (микрофон/аудио),USB 2.0,USB 3.2 Gen1,нет,нет,False,Li-Ion,4500.0,3.5,217.5,329.3,20.8,1.273,интегрированная,4,нет,,,,,,,,,,,,,,0,0.0,Irbis,NB257,False,True,,Intel,False,,False,,WI-FI 4 (802.11n), Bluetooth 4.0,,
4.0,27,98.7,15999,15999,12,ноутбук,NB270,2021,Windows 10 Pro,False,белый,пластик,пластик,стандартный тачпад,False,False,IPS,14.1,Full HD (1920x1080),матовое,False,60.0,200.0,156.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,LPDDR4,4,2400.0,Intel UHD Graphics 600,,0,0,128,2.0,microSD,False,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,,нет,False,Li-Ion,4000.0,,213.0,328.0,21.0,1.28,интегрированная,4,нет,,,,,,,,,,,,,,0,0.0,Irbis,NB270,False,True,,Intel,False,,False,microSD,WI-FI 4 (802.11n), Bluetooth 4.0,,
2.5,3,97.76,17999,17999,12,ноутбук,ES4060EW,2022,Windows 10 Home Single Language,False,серый,пластик,пластик,стандартный тачпад,False,False,IPS,14.1,Full HD (1920x1080),,False,60.0,,155.0,нет,Celeron N4020,2.0,2,0,2,1.1,2.8,DDR4,4,,Intel UHD Graphics 600,,0,0,64,0.3,microSD,False,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,False,Li-Ion,5000.0,5.3,216.0,327.0,23.0,1.25,,,,нет,HDMI 1.4,,,,,,,,,,,,0,0.0,Digma,EVE 14 C414,False,True,,Intel,False,,False,microSD,WI-FI 4 (802.11n), Bluetooth 4.0,,
0.0,0,0.0,19199,19199,12,ноутбук,NB283,2021,Windows 10 Pro,False,серый,пластик,пластик,стандартный тачпад,False,False,IPS,14.0,HD (1366x768),матовое,False,60.0,180.0,112.0,нет,Celeron 3350,2.0,2,0,2,1.1,2.4,LPDDR4,4,,Intel HD Graphics 500,,0,0,128,0.3,microSD,False,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,False,Li-Ion,4500.0,3.5,217.5,329.3,20.8,1.273,интегрированная,4,нет,нет,HDMI 1.4,нет,,,,,,,,,,,0,0.0,Irbis,NB283,False,True,,Intel,False,,False,microSD,WI-FI 4 (802.11n), Bluetooth 4.0,,
3.5,35,94.49,19999,19999,12,ноутбук,NB261,2020,Windows 10 Home Single Language,False,серый,пластик,пластик,стандартный тачпад,False,False,IPS,15.6,Full HD (1920x1080),матовое,False,60.0,,141.0,нет,Celeron 3350,2.0,2,0,2,1.1,2.4,LPDDR3,4,,Intel HD Graphics 500,,128,0,0,0.3,microSD,False,micro HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,False,Li-Ion,5000.0,6.0,227.0,365.0,23.7,1.7,1,,,,,,PCIe,,,,,,,,,,0,0.0,Irbis,NB261,False,True,,Intel,False,,False,microSD,WI-FI 4 (802.11n), Bluetooth 4.0,,
4.0,16,92.93,19999,19999,12,ноутбук,NB262,2021,Windows 10 Home Single Language,False,серебристый,пластик,пластик,стандартный тачпад,False,False,IPS,15.6,Full HD (1920x1080),матовое,False,60.0,220.0,157.0,нет,Celeron 3350,2.0,2,0,2,1.1,2.4,LPDDR3,4,,Intel HD Graphics 500,,0,0,128,0.3,0,False,mini HDMI,3.5 мм jack (микрофон/аудио),USB 2.0,USB 3.2 Gen1,нет,нет,False,Li-Ion,5000.0,3.0,227.0,365.5,23.7,1.5,1,8,нет,,,,,,,,,,,,,,0,0.0,Irbis,NB262,False,True,,Intel,False,,False,,WI-FI 4 (802.11n), Bluetooth 4.0,,
3.5,5,98.83,19999,19999,12,ноутбук,NB263,2022,Windows 10 Home Single Language,False,черный,пластик,пластик,стандартный тачпад,False,False,IPS,15.6,Full HD (1920x1080),,False,60.0,,141.0,,Celeron N3350,2.0,2,0,2,1.1,2.4,LPDDR3,4,,Intel HD Graphics 500,,128,0,0,0.3,microSD,False,mini HDMI,3.5 мм jack (аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,False,Li-Ion,5000.0,,227.0,365.5,23.7,1.7,,,,нет,HDMI 1.4,нет,,,,,,,,,,,0,0.0,Irbis,NB263,False,True,,Intel,False,,False,microSD,WI-FI 4 (802.11n), Bluetooth 4.0,,
3.5,17,97.39,19999,19999,12,ноутбук,NB285,2021,Windows 10 Pro,False,черный,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,180.0,141.0,нет,Pentium J3710,4.0,4,0,4,1.6,2.6,LPDDR4,4,2400.0,Intel HD Graphics,,0,0,128,0.3,microSD,False,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,,нет,False,Li-Ion,4500.0,4.5,238.9,370.8,22.4,1.57,,,,,HDMI 1.4,,,,,,,,,,,,0,0.0,Irbis,NB285,False,True,,Intel,False,,False,microSD,WI-FI 4 (802.11n), Bluetooth 4.0,,
4.5,11,99.78,27999,25199,0,ноутбук,82C70084RU,2020,без ОС,False,серый,пластик,пластик,стандартный тачпад,False,False,TN,15.6,HD (1366x768),матовое,False,60.0,220.0,100.0,нет,3020e,2.0,2,0,2,1.2,2.6,DDR4,4,2400.0,AMD Radeon Graphics,,256,0,0,0.3,"SD, MMC",False,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,False,Li-Pol,35.0,6.0,251.5,362.2,19.9,1.85,1,8,нет,,HDMI 1.4b,есть,PCIe,12 мес.,NTSC 45%,65,,,,,,,2800,10.0,Lenovo,V15 ADA,False,True,,AMD,False,,True,SD,WI-FI 5 (802.11ac), Bluetooth 5.0,,
