id,rating,votes,service_rating,price,price_discount,url,Гарантия от производителя,Тип,Модель,Код производителя,Год релиза,Операционная система,Игровой ноутбук,Конструктивное исполнение,Цвет верхней крышки,Материал крышки,Материал корпуса,Раскладка клавиатуры,Цифровой блок клавиатуры,Подсветка клавиш,Тачпад,Сканер отпечатка пальца,Механическая клавиатура,Тип экрана,Диагональ экрана (дюйм),Разрешение экрана,Покрытие экрана,Сенсорный экран,Максимальная частота обновления экрана,Яркость,Плотность пикселей,Технология динамического обновления экрана,Модель процессора,Общее количество ядер,Количество производительных ядер,Количество энергоэффективных ядер,Максимальное число потоков,Частота процессора,Автоматическое увеличение частоты,Тип оперативной памяти,Объем оперативной памяти,Частота оперативной памяти,Вид графического ускорителя,Модель встроенной видеокарты,Модель дискретной видеокарты,Общий объем твердотельных накопителей (SSD),Общий объем жестких дисков (HDD),Объем накопителя eMMC,Веб-камера,Встроенный микрофон,Поддержка карт памяти кард-ридером,Оптический привод,Беспроводной интерфейс,Порт Ethernet,Видеоразъемы,Аудиоразъемы,Разъемы USB Type-A,Разъемы USB Type-C,Дополнительные интерфейсы,Thunderbolt,Поддержка USB Power Delivery,Тип аккумулятора,Емкость аккумулятора,Приблизительное время автономной работы,"Особенности, дополнительно",Комплектация,Глубина,Ширина,Толщина,Вес,Страна-производитель,Количество слотов под модули памяти,Максимальный объем памяти,Свободные слоты для оперативной памяти,Дополнительный дисплей,Версия видеоразъема,"Цвет, заявленный производителем",Поддержка TPM,Тип SSD диска,Гарантия от продавца,Цветовой охват,Выходная мощность адаптера питания,Скорость вращения шпинделя,Производитель видеочипа,Тип видеопамяти,Объем видеопамяти,Тактовая частота с ускорением,Расширенные возможности,HDR,Максимальное энергопотребление
829ba653-24bd-11ec-8ef9-00155d8ed20b,3.5,89,93.11,14999,14999,https://www.dns-shop.ru/product/829ba65324bded20/133-noutbuk-irbis-nb77-cernyj/,12 мес.,ноутбук,Irbis NB77,[NB77],2021,Windows 10 Home Single Language,нет,классический,черный,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,TN+film,"13.3""",HD (1366x768),матовое,нет,60 Гц,200 Кд/м²,118 ppi,нет,Intel Atom Z3735F,4,4,нет,4,1.33 ГГц,1.83 ГГц,DDR3,2 ГБ,1333 МГц,встроенный,Intel HD Graphics,нет,нет,нет,32 ГБ,0.3 Мп (480p),есть,нет,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),USB 2.0 x2,нет,нет,нет,нет,Li-Ion,8000 мА*ч,5 ч,"5 книг от Литрес в подарок, подписка на Яндекс.Плюс 90 дней","документация, адаптер питания",217.5 мм,329.3 мм,20.8 мм,1.3 кг,,,,,,,,,,,,,,,,,,,,
e259ba0d-eda1-11eb-a293-00155dd2ff2c,4.5,52,97.67,15999,15999,https://www.dns-shop.ru/product/e259ba0deda12ff2/14-noutbuk-irbis-nb257-seryj/,12 мес.,ноутбук,Irbis NB257,[NB257],2021,Windows 10 Home Single Language,нет,классический,серый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"14""",HD (1366x768),матовое,нет,60 Гц,180 Кд/м²,112 ppi,нет,Intel Celeron 3350,2,2,нет,2,1.1 ГГц,2.4 ГГц,LPDDR4,4 ГБ,,встроенный,Intel HD Graphics 500,нет,нет,нет,64 ГБ,0.3 Мп (480p),есть,,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),USB 2.0,USB 3.2 Gen1,нет,нет,нет,Li-Ion,4500 мА*ч,3.5 ч,"5 книг от Литрес в подарок, подписка на Яндекс.Плюс 90 дней","документация, адаптер питания",217.5 мм,329.3 мм,20.8 мм,1.273 кг,Китай,интегрированная,4 ГБ,нет,,,,,,,,,,,,,,,,
ce257262-3e34-11ed-9025-00155d8ed20b,4.0,27,98.7,15999,15999,https://www.dns-shop.ru/product/ce2572623e34ed20/141-noutbuk-irbis-nb270-belyj/,12 мес.,ноутбук,Irbis NB270,[NB270],2021,Windows 10 Pro,нет,классический,белый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"14.1""",Full HD (1920x1080),матовое,нет,60 Гц,200 Кд/м²,156 ppi,нет,Intel Celeron N4020,2,2,нет,2,1.1 ГГц,2.8 ГГц,LPDDR4,4 ГБ,2400 МГц,встроенный,Intel UHD Graphics 600,нет,нет,нет,128 ГБ,2 Мп (1080p),есть,microSD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,,нет,нет,Li-Ion,4000 мА*ч,,,"документация, адаптер питания",213 мм,328 мм,21 мм,1.28 кг,,интегрированная,4 ГБ,нет,,,,,,,,,,,,,,,,
c453df98-dd51-4fd2-a984-7b3bcd0a531f,2.5,3,97.76,17999,17999,https://www.dns-shop.ru/product/c453df98dd51a531/141-noutbuk-digma-eve-14-c414-seryj/,12 мес.,ноутбук,Digma EVE 14 C414,[ES4060EW],2022,Windows 10 Home Single Language,нет,классический,серый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"14.1""",Full HD (1920x1080),,нет,60 Гц,,155 ppi,нет,Intel Celeron N4020,2,2,нет,2,1.1 ГГц,2.8 ГГц,DDR4,4 ГБ,,встроенный,Intel UHD Graphics 600,нет,нет,нет,64 ГБ,0.3 Мп (480p),нет,microSD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,нет,Li-Ion,5000 мА*ч,5.3 ч,,"документация, адаптер питания",216 мм,327 мм,23 мм,1.25 кг,,,,,нет,HDMI 1.4,,,,,,,,,,,,,,
9e7bf670-f005-4192-918d-471de2c20659,0.0,0,0.0,19199,19199,https://www.dns-shop.ru/product/9e7bf670f0052065/14-noutbuk-irbis-nb283-seryj/,12 мес.,ноутбук,Irbis NB283,[NB283],2021,Windows 10 Pro,нет,классический,серый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"14""",HD (1366x768),матовое,нет,60 Гц,180 Кд/м²,112 ppi,нет,Intel Celeron 3350,2,2,нет,2,1.1 ГГц,2.4 ГГц,LPDDR4,4 ГБ,,встроенный,Intel HD Graphics 500,нет,нет,нет,128 ГБ,0.3 Мп (480p),есть,microSD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,нет,Li-Ion,4500 мА*ч,3.5 ч,"5 книг от Литрес в подарок, подписка на Яндекс.Плюс 90 дней","документация, адаптер питания",217.5 мм,329.3 мм,20.8 мм,1.273 кг,,интегрированная,4 ГБ,нет,нет,HDMI 1.4,тёмно-серый,нет,,,,,,,,,,,,
e259ba0e-eda1-11eb-a293-00155dd2ff2c,3.5,35,94.49,19999,19999,https://www.dns-shop.ru/product/e259ba0eeda12ff2/156-noutbuk-irbis-nb261-seryj/,12 мес.,ноутбук,Irbis NB261,[NB261],2020,Windows 10 Home Single Language,нет,классический,серый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,,141 ppi,нет,Intel Celeron 3350,2,2,нет,2,1.1 ГГц,2.4 ГГц,LPDDR3,4 ГБ,,встроенный,Intel HD Graphics 500,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,microSD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,micro HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,нет,Li-Ion,5000 мА*ч,6 ч,"5 книг от Литрес в подарок, подписка на Яндекс.Плюс 90 дней","документация, адаптер питания",227 мм,365 мм,23.7 мм,1.7 кг,Китай,1,,,,,,,M.2 PCIe,,,,,,,,,,,
e259ba0f-eda1-11eb-a293-00155dd2ff2c,4.0,16,92.93,19999,19999,https://www.dns-shop.ru/product/e259ba0feda12ff2/156-noutbuk-irbis-nb262-serebristyj/,12 мес.,ноутбук,Irbis NB262,[NB262],2021,Windows 10 Home Single Language,нет,классический,серебристый,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),матовое,нет,60 Гц,220 Кд/м²,157 ppi,нет,Intel Celeron 3350,2,2,нет,2,1.1 ГГц,2.4 ГГц,LPDDR3,4 ГБ,,встроенный,Intel HD Graphics 500,нет,нет,нет,128 ГБ,0.3 Мп (480p),есть,,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),USB 2.0,USB 3.2 Gen1,нет,нет,нет,Li-Ion,5000 мА*ч,3 ч,"5 книг от Литрес в подарок, подписка на Яндекс.Плюс 90 дней","документация, адаптер питания",227 мм,365.5 мм,23.7 мм,1.5 кг,Китай,1,8 ГБ,нет,,,,,,,,,,,,,,,,
9da857b1-58e4-11ed-9042-00155d8ed20c,3.5,5,98.83,19999,19999,https://www.dns-shop.ru/product/9da857b158e4ed20/156-noutbuk-irbis-nb263-cernyj/,12 мес.,ноутбук,Irbis NB263,[NB263],2022,Windows 10 Home Single Language,нет,классический,черный,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,IPS,"15.6""",Full HD (1920x1080),,нет,60 Гц,,141 ppi,,Intel Celeron N3350,2,2,нет,2,1.1 ГГц,2.4 ГГц,LPDDR3,4 ГБ,,встроенный,Intel HD Graphics 500,нет,128 ГБ,нет,нет,0.3 Мп (480p),есть,microSD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (аудио),"USB 2.0, USB 3.2 Gen1",нет,нет,нет,нет,Li-Ion,5000 мА*ч,,,"документация, адаптер питания",227 мм,365.5 мм,23.7 мм,1.7 кг,Китай,,,,нет,HDMI 1.4,,нет,,,,,,,,,,,,
a9273ca7-3e36-11ed-9025-00155d8ed20b,3.5,17,97.39,19999,19999,https://www.dns-shop.ru/product/a9273ca73e36ed20/156-noutbuk-irbis-nb285-cernyj/,12 мес.,ноутбук,Irbis NB285,[NB285],2021,Windows 10 Pro,нет,классический,черный,пластик,пластик,английская/русская,нет,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,180 Кд/м²,141 ppi,нет,Intel Pentium J3710,4,4,нет,4,1.6 ГГц,2.6 ГГц,LPDDR4,4 ГБ,2400 МГц,встроенный,Intel HD Graphics,нет,нет,нет,128 ГБ,0.3 Мп (480p),есть,microSD,нет,"WI-FI 4 (802.11n), Bluetooth 4.0",нет,mini HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1",нет,,нет,нет,Li-Ion,4500 мА*ч,4.5 ч,,"документация, адаптер питания",238.9 мм,370.8 мм,22.4 мм,1.57 кг,Китай,,,,,HDMI 1.4,,,,,,,,,,,,,,
39ef8ed1-9fa3-11ec-a28c-00155dd2ff41,4.5,11,99.78,27999,25199,https://www.dns-shop.ru/product/39ef8ed19fa32ff4/156-noutbuk-lenovo-v15-ada-seryj/,,ноутбук,Lenovo V15 ADA,[82C70084RU],2020,без ОС,нет,классический,серый,пластик,пластик,английская/русская,есть,нет,стандартный тачпад,нет,нет,TN+film,"15.6""",HD (1366x768),матовое,нет,60 Гц,220 Кд/м²,100 ppi,нет,AMD 3020e,2,2,нет,2,1.2 ГГц,2.6 ГГц,DDR4,4 ГБ,2400 МГц,встроенный,AMD Radeon Graphics,нет,256 ГБ,нет,нет,0.3 Мп (480p),есть,"SD, MMC",нет,"WI-FI 5 (802.11ac), Bluetooth 5.0",нет,HDMI,3.5 мм jack (микрофон/аудио),"USB 2.0, USB 3.2 Gen1 x2",нет,нет,нет,нет,Li-Pol,35 Вт*ч,6 ч,,"документация, адаптер питания",251.5 мм,362.2 мм,19.9 мм,1.85 кг,,1,8 ГБ,нет,,HDMI 1.4b,,есть,M.2 PCIe,12 мес.,NTSC 45%,65 Вт,,,,,,,,
